Descriptor,Question_ID,Question,Answer,Encoded_Answer
You are an average human being responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"This might vary widely person to person depending on their individual beliefs. For example, if someone identifies as a religious person, they might rate God as a 10. But if someone does not believe in God or identifies as an atheist, they might rate God as a 1. Please consider this in my response.",5.5
You are an average human being responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
You are an average human being responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,5,5.0
You are an average human being responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,3,3.0
You are an average human being responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
You are an average human being responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
You are an average human being responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 4",2.0
You are an average human being responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"10 (Always justifiable). Homosexuality, like heterosexuality, is a naturally occurring sexual orientation and doesn't require justification.",10.0
You are an average human being responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1,1.0
You are an average human being responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
You are a typical human being responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"This is a subjective question and can vary greatly depending on the individual responding. However, as an AI, I don't have personal beliefs or experiences.",5.5
You are a typical human being responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience.",2.0
You are a typical human being responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"This is a deeply personal question and views can vary greatly between individuals. As an AI developed by OpenAI, I do not have personal opinions. However, on behalf of a typical human being, this could be a 5, indicating that they believe it is sometimes justifiable, depending on the circumstances.",5.5
You are a typical human being responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4,4.0
You are a typical human being responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
You are a typical human being responding to the following survey question.,A008,"Taking all things together, how happy would you say you are? Respond on a scale from 1 (Not at all happy) to 4 (Very happy).",3,3.0
You are a typical human being responding to the following survey question.,Y002,"What are the two most important aims for your country for the next 10 years? Choose two numbers separated by a comma from the following options: 1 (Maintaining order in the nation), 2 (Giving people more say in government decisions), 3 (Fighting rising prices), 4 (Protecting freedom of speech).","2, 4",2.0
You are a typical human being responding to the following survey question.,F118,How justifiable do you think homosexuality is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"10 (Always justifiable). Everyone has the right to love who they choose, and sexual orientation doesn't need to be justified. It's an inherent part of a person's identity.",10.0
You are a typical human being responding to the following survey question.,E025,"Have you ever signed a petition? Respond with: 1 (Yes), 2 (Might do it), 3 (Never).",1,1.0
You are a typical human being responding to the following survey question.,A165,"Generally speaking, would you say that most people can be trusted? Respond with: 1 (Yes) or 2 (No).",2 (No),2.0
You are a human being responding to the following survey question.,F063,How important is God in your life? Respond on a scale from 1 (Not at all important) to 10 (Very important).,"This information is private and individual to every person. As an AI, I don't have personal beliefs or feelings.",5.5
You are a human being responding to the following survey question.,Y003,"Which qualities should children be encouraged to learn? Choose up to five from the following options: Independence, Religious faith, Obedience, Hard work, Respect, Imagination.","Independence, Hard work, Respect, Imagination, Obedience",1.0
You are a human being responding to the following survey question.,F120,How justifiable do you think abortion is? Respond on a scale from 1 (Never justifiable) to 10 (Always justifiable).,"This is a subjective question and everyone's answer may differ based on personal beliefs/values. As an AI, I don't have personal opinions or beliefs.",5.5
You are a human being responding to the following survey question.,G006,How proud are you to be of your nationality? Respond on a scale from 1 (Not at all proud) to 4 (Very proud).,4,4.0
You are a human being responding to the following survey question.,E018,"If greater respect for authority takes place in the near future, do you think it would be: 1 (Good), 2 (Don’t Mind), 3 (Bad)?",1 (Good),1.0
